Designator,Footprint,Quantity,Value,LCSC Part #
"C10, C13, C14, C15, C16, C20, C21",0402,7,100nF,
"C11, C18",0402,2,10uF,
"C17, C6, C7",0402,3,1uF,
C19,0402,1,10nF,
C2,C_Elec_8x10.2,1,"4,7uF",
"C22, C24",0603,2,20pF,
"C3, C4",0402,2,0.1uF,
C5,0402,1,4.7nF,
C8,0603,1,0.01uF,
C9,0805,1,100uF,
D3,D_SMA,1,SS34,
D4,0402,1,GREEN,
D5,0402,1,RED,
D6,0402,1,BLUE,
D7,D_MiniMELF,1,LL4148,
D8,D_SMA,1,SMAJ40A,
FB1,0402,1,FerriteBead,
J1,SolderWire-0.75sqmm_1x02_P7mm_D1.25mm_OD3.5mm,1,Conn_01x02_Socket,
"J10, J11",PinSocket_1x08_P2.00mm_Vertical,2,Conn_01x08_Socket,
J12,Molex_KK-254_AE-6410-04A_1x04_P2.54mm_Vertical,1,Conn_01x04_Socket,
"J2, J4",Hirose_DF13-04P-1.25DSA_1x04_P1.25mm_Vertical,2,Conn_01x04_Socket,
"J6, J8",Hirose_DF13-02P-1.25DSA_1x02_P1.25mm_Vertical,2,Conn_01x02_Socket,
J7,Hirose_DF13-04P-1.25DS_1x04_P1.25mm_Horizontal,1,Conn_01x04_Socket,
L2,L_Murata_DEM3512C,1,33uH,
Q1,SOT-23,1,AO3400A,
"R1, R2",0402,2,22R,
"R10, R18",0402,2,4.7k,
R11,0603,1,4.7k,
"R12, R15, R4, R7, R8",0402,5,10k,
"R13, R14",0402,2,330R,
"R16, R3",0402,2,60R,
"R17, R19",0402,2,1k,
"R20, R6",0201,2,0,
R5,0402,1,3.24k,
R9,0402,1,100R,
SW1,SW_Push_1P1T_NO_CK_KMR2,1,SW_Push,
U1,DFN-8-1EP_3x3mm_P0.65mm_EP1.55x2.4mm,1,MCP2542FDxMF,
U2,SOT-23-5,1,AP2112K-3.3,
U3,SOIC-8_3.9x4.9mm_P1.27mm,1,TPS5420D,
U4,LQFP-48_7x7mm_P0.5mm,1,STM32F103C8Tx,
U5,SOIC8,1,AS5600,
Y1,Crystal_SMD_5032-2Pin_5.0x3.2mm,1,Crystal,
