Designator,Mid X,Mid Y,Rotation,Layer
C10,98.77,-71.196783,0.0,bottom
C11,96.873189,-71.188203,180.0,bottom
C13,93.5,-63.5,270.0,top
C14,94.5,-63.5,270.0,top
C15,95.5,-63.48,270.0,top
C16,96.5,-63.5,270.0,top
C17,97.5,-63.5,270.0,top
C18,85.77,-79.5,0.0,top
C19,87.77,-72.98111,180.0,top
C2,97.75,-76.85,270.0,top
C20,111.0,-67.5,0.0,top
C21,101.52,-46.75,180.0,top
C22,103.75,-69.25,0.0,top
C24,100.0,-69.25,180.0,top
C3,82.32836,-56.0,0.0,top
C4,90.749369,-54.302419,0.0,top
C5,78.274811,-55.876273,180.0,top
C6,116.25,-70.0,90.0,top
C7,111.5,-69.75,270.0,top
C8,108.0,-74.75,0.0,top
C9,115.25,-72.75,270.0,top
D3,112.25,-77.5,0.0,top
D4,107.5,-86.25,270.0,top
D5,96.5,-68.985,90.0,top
D6,95.25,-68.985,90.0,top
D7,92.0,-74.75,270.0,top
D8,100.75,-85.75,0.0,top
FB1,92.5,-63.5,90.0,top
J10,84.0,-70.25,90.0,top
J11,84.0,-58.25,90.0,top
J12,81.108435,-75.25,180.0,top
J2,114.0,-59.375,270.0,top
J4,95.875,-49.0,0.0,top
J6,90.5,-80.25,0.0,top
J7,88.125,-51.0,0.0,top
J8,109.625,-65.0,0.0,top
L2,111.75,-73.25,90.0,top
Q1,88.8,-75.538116,90.0,top
R1,90.74,-56.0,0.0,top
R10,96.605078,-62.332679,90.0,bottom
R11,106.157379,-86.251435,90.0,top
R12,101.49,-48.0,0.0,top
R13,96.5,-66.99,90.0,top
R14,95.25,-67.0,90.0,top
R15,108.83136,-67.43615,180.0,top
R16,80.26,-56.0,0.0,top
R17,83.5,-61.0,0.0,top
R18,95.373942,-62.333603,90.0,bottom
R19,94.067471,-62.325007,270.0,bottom
R2,90.76,-53.25,0.0,top
R20,84.25,-55.5,180.0,top
R3,84.405103,-54.476539,180.0,top
R4,103.25,-74.75,270.0,top
R5,104.25,-74.75,90.0,top
R6,101.5,-82.5,180.0,top
R7,107.75,-58.0,180.0,top
R8,95.5,-58.75,270.0,top
R9,89.74,-72.383403,180.0,top
SW1,105.5,-48.0,0.0,top
U1,87.6125,-54.587963,90.0,top
U2,113.8,-68.6125,270.0,top
U3,105.095,-79.525,180.0,top
U4,101.25,-58.75,0.0,top
U5,96.0,-67.0,0.0,bottom
Y1,101.597911,-66.255884,180.0,top
